Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
1986-09-01,0.03856042289047608,0.06345901141074471,0.18117039650423944,-1
1986-10-01,0.03328989478163497,0.05702924182750089,0.16742235638975522,-1
1986-11-01,0.030220465523794565,0.05268569382613978,0.15683020189479782,-1
1986-12-01,0.028119561826909965,0.04964680296710689,0.1476370464043322,-1
1987-01-01,0.024303334467106488,0.04629037235960639,0.14277005710414423,-1
1987-02-01,0.02189253639725778,0.044044430140206106,0.13828326135442812,-1
1987-03-01,0.020031017705568276,0.04419896681923265,0.14047026090238415,-1
1987-04-01,0.01833080638633272,0.04836124528078005,0.1599234498005127,-1
1987-05-01,0.017246468585815498,0.0612222866370495,0.21228178854221502,-1
1987-06-01,0.015908728417213292,0.0705123155265352,0.25906339613759793,-1
1987-07-01,0.014142163922990378,0.07220137026674278,0.28417596012743795,-1
1987-08-01,0.01352483491944835,0.08338622755370108,0.3300192693408184,-1
1987-09-01,0.01347080811579367,0.09964721273065136,0.38673236485669527,-1
1987-10-01,0.02678827593155836,0.16267824073927434,0.4680944268273081,-1
1987-11-01,0.05294995369992876,0.2259550523096951,0.5361808375582645,-1
1987-12-01,0.053894936270472336,0.2373626739672391,0.5634544602438547,-1
1988-01-01,0.06892411039973584,0.2632383245835975,0.5923593208064102,-1
1988-02-01,0.09820744309712501,0.30136752566255304,0.6239989231416135,-1
1988-03-01,0.11806636465834669,0.31876694915145853,0.6325071490427838,-1
1988-04-01,0.12928949928782466,0.3274362024970099,0.6369721836954011,-1
1988-05-01,0.12316287777108859,0.31155445854039904,0.6184174155150831,-1
1988-06-01,0.1349676012506606,0.31528016823744176,0.6149990048613503,-1
1988-07-01,0.16004814772447806,0.33890512411123097,0.6280805723343016,-1
1988-08-01,0.21191163436566834,0.3861551027542303,0.6565237255575435,-1
1988-09-01,0.23667667075311877,0.4116100674239694,0.6714977123108807,-1
1988-10-01,0.19582084617793705,0.3637342990827706,0.627368195638435,-1
1988-11-01,0.15892945773292208,0.31282141964199317,0.5744467451245857,-1
1988-12-01,0.13072782219886495,0.28949991922044216,0.5659455746930298,-1
1989-01-01,0.1080446240353667,0.27229301568325315,0.5636291573275087,-1
1989-02-01,0.09799002999123783,0.28999183220790137,0.5871619898018863,-1
1989-03-01,0.09027143382514903,0.327012467193789,0.6303211863648102,-1
1989-04-01,0.08404665901318599,0.3609195661553042,0.6697357073973114,-1
1989-05-01,0.07611064558044946,0.37055308576951507,0.6892281331980175,-1
1989-06-01,0.07974669982837664,0.3915615589822493,0.7023244834235539,-1
1989-07-01,0.0770369121038662,0.3876341427135982,0.6974349677434541,-1
1989-08-01,0.07135568217419397,0.3601681458155528,0.6703427702406352,-1
1989-09-01,0.066884444691159,0.32688587780750245,0.6278384721744005,-1
1989-10-01,0.05944786753914674,0.28737053571090804,0.5743812232379607,-1
1989-11-01,0.051069656377248196,0.24857336406460337,0.5211112509910751,-1
1989-12-01,0.04334774888055807,0.2134977218869864,0.4676192351228877,-1
1990-01-01,0.04828094226381829,0.20485579496183204,0.44144264665683164,-1
1990-02-01,0.04353845992393361,0.1840564773503448,0.4068132885846056,-1
1990-03-01,0.04219603099365218,0.17754057543860569,0.39769493790441923,-1
1990-04-01,0.046122391344047026,0.176897513213092,0.3893432575428316,-1
1990-05-01,0.05120151456684466,0.18586916281116456,0.4016214131319337,-1
1990-06-01,0.05262484004185355,0.18106247018345384,0.39652618751809615,-1
1990-07-01,0.08618449527822052,0.21420491498917438,0.4252703741543321,100
1990-08-01,0.18176089793644568,0.28914889390718346,0.4823653333152461,100
1990-09-01,0.3073293465711281,0.38479085995574225,0.5542443961179507,100
1990-10-01,0.4119289076017424,0.4753254038383502,0.6241166769906974,100
1990-11-01,0.48776050463074483,0.5461006641268691,0.6802147147102844,100
1990-12-01,0.5392650262867945,0.5995629410350876,0.7228881814704594,100
1991-01-01,0.4901942264537544,0.5755493689866469,0.7166945979124533,100
1991-02-01,0.4048795711526744,0.4960038812959387,0.6575284052218082,100
1991-03-01,0.3373262674993402,0.41945388323550026,0.5825203849002244,100
1991-04-01,0.2800104553331636,0.3540689769150221,0.5182778687322693,-1
1991-05-01,0.24222072304721573,0.30156204441363177,0.4607015465759595,-1
1991-06-01,0.20669800967501495,0.25502879430695186,0.4065989443215802,-1
1991-07-01,0.16997392989773025,0.2148002742067499,0.36367786809650016,-1
1991-08-01,0.13659350462424985,0.1783727400144414,0.32295176517863866,-1
1991-09-01,0.10961733269336223,0.14684617410793704,0.28046334781114424,-1
1991-10-01,0.08843021920365024,0.12164231287474596,0.24454612849860302,-1
1991-11-01,0.07292682305533853,0.10304357955762326,0.21723317142324858,-1
1991-12-01,0.06000512453003021,0.08797907455401374,0.19747628599027106,-1
1992-01-01,0.0509853465348304,0.07773676762439345,0.18478941713816105,-1
1992-02-01,0.04626182667093893,0.07176072274525087,0.17812351729508236,-1
1992-03-01,0.04459030829426147,0.07081149780237316,0.18547661542966234,-1
1992-04-01,0.04175061862540887,0.06828832052111258,0.18675799998381656,-1
1992-05-01,0.04243202043968517,0.06844860173671177,0.19289803612970094,-1
1992-06-01,0.03913231216704169,0.06612360665697896,0.19274169561554164,-1
1992-07-01,0.03662170717498551,0.06310982315961985,0.18764728259808394,-1
1992-08-01,0.041264857733592696,0.0632332844497516,0.18593574519170955,-1
1992-09-01,0.04153631074182204,0.06245995738978362,0.1828570790997711,-1
1992-10-01,0.04281711020752946,0.06243749583523957,0.18304974696474957,-1
1992-11-01,0.03886892545616464,0.05969536130076521,0.18042260403982302,-1
1992-12-01,0.04094662477801586,0.06415829306899246,0.19401207034222923,-1
1993-01-01,0.035123529781467766,0.05693727098021087,0.1739104180495585,-1
1993-02-01,0.029705727203138178,0.050125283374204736,0.15650404337989726,-1
1993-03-01,0.02503969778981633,0.043541400520218515,0.13941608096698868,-1
1993-04-01,0.024212906376826476,0.04169922151239347,0.13279609880103047,-1
1993-05-01,0.022822005744447385,0.039766029738570186,0.12684495029164153,-1
1993-06-01,0.021260014239583847,0.037947365710615064,0.1218202222913545,-1
1993-07-01,0.019857488350707834,0.036356615901013724,0.11903742362275149,-1
1993-08-01,0.01740181808564896,0.03427703078387465,0.1175162675559992,-1
1993-09-01,0.01628325693544914,0.034126701969621816,0.1196493581009883,-1
1993-10-01,0.015182346675452582,0.03390887388899644,0.12214115690147842,-1
1993-11-01,0.016228804599632572,0.03668688595999703,0.1298793817419743,-1
1993-12-01,0.01616541229906429,0.03780988121915481,0.13402711963426295,-1
1994-01-01,0.014969554116494513,0.037132929687938514,0.1348601784821957,-1
1994-02-01,0.014886718809069784,0.03842244195485781,0.13982443093171942,-1
1994-03-01,0.016332095357955892,0.0424680848754314,0.15090574090854875,-1
1994-04-01,0.01582790491907077,0.04480385196221461,0.15997586665376237,-1
1994-05-01,0.015003006504019308,0.047282944703579306,0.16965603951213354,-1
1994-06-01,0.014455003019167675,0.0507048419383526,0.18619306240917946,-1
1994-07-01,0.014180590345279877,0.055304532157634256,0.20473346612121635,-1
1994-08-01,0.014150894042402759,0.060893357858314096,0.22415995146713358,-1
1994-09-01,0.016382640340722676,0.07719714454319537,0.26335506562301836,-1
1994-10-01,0.019485412993997902,0.1003761228936583,0.3096567663890389,-1
1994-11-01,0.02776887428710434,0.1366980373871621,0.3631503689931032,-1
1994-12-01,0.030273747897263004,0.15351753081044875,0.3973583786574836,-1
1995-01-01,0.035913685769811104,0.17766520344903045,0.43853178431290873,-1
1995-02-01,0.03465805820021515,0.1838954597464946,0.4642572535445001,-1
1995-03-01,0.03408526323386703,0.2012502298207119,0.502950640101876,-1
1995-04-01,0.03261465878793446,0.20771197750759438,0.5274010659674422,-1
1995-05-01,0.031607242221567314,0.21008082584304794,0.5394323430534321,-1
1995-06-01,0.033521869057457916,0.221827274533773,0.5537610392669295,-1
1995-07-01,0.03563949201026247,0.22730822956583402,0.5578223985534321,-1
1995-08-01,0.0393720622025308,0.23050128490833274,0.5559325953464385,-1
1995-09-01,0.033574273317874444,0.20133521468700494,0.5149058901126347,-1
1995-10-01,0.029875746143254913,0.1784959104979036,0.4776648909342941,-1
1995-11-01,0.025699781637930463,0.1555958632006053,0.43554642759639783,-1
1995-12-01,0.023456838666645,0.14031717077120395,0.40326647460209236,-1
1996-01-01,0.02205399080059719,0.12809694693907264,0.3745649549633171,-1
1996-02-01,0.022009376600002996,0.1199413117845864,0.3525020176928163,-1
1996-03-01,0.020792978251369068,0.10802589919783318,0.3242066366946978,-1
1996-04-01,0.01870256660996515,0.09681208729188598,0.3005882144630299,-1
1996-05-01,0.016599322654700314,0.08640588744960637,0.27898158534655854,-1
1996-06-01,0.015502194375839645,0.08124045933828222,0.27198554921899765,-1
1996-07-01,0.016723971451863558,0.08424820995921045,0.2819183070529565,-1
1996-08-01,0.016223513487468914,0.0825138037484123,0.2844592399202627,-1
1996-09-01,0.01608553600765344,0.07996979285141154,0.2811643200893474,-1
1996-10-01,0.01546224761373957,0.07851802925833264,0.2815813479798347,-1
1996-11-01,0.014985962055399593,0.07903910208753386,0.28707927934485006,-1
1996-12-01,0.016420187633668537,0.08546337296495239,0.3043577404405051,-1
1997-01-01,0.01685471294931074,0.09272135935325644,0.32406539824661174,-1
1997-02-01,0.01770737020291076,0.10173779664137172,0.34433240965805256,-1
1997-03-01,0.019240660159902192,0.10851814322613777,0.36008274448985655,-1
1997-04-01,0.0173198224346098,0.10095050044208621,0.34938853248980556,-1
1997-05-01,0.014845805568678708,0.09016785981211914,0.32799571028598523,-1
1997-06-01,0.012676058655298162,0.0797115909182822,0.30387265398216706,-1
1997-07-01,0.010884129220289158,0.07151694715755193,0.28360126922223955,-1
1997-08-01,0.009776712422419266,0.06632034170649881,0.2712136186678932,-1
1997-09-01,0.009496920447815806,0.06733430968515079,0.2775829040966953,-1
1997-10-01,0.00935780967002024,0.06625079002733146,0.27563552802010505,-1
1997-11-01,0.009983776475241115,0.06931268644369794,0.28497561356187123,-1
1997-12-01,0.00954304639163062,0.0690353298918853,0.2920475861928943,-1
1998-01-01,0.01078539612243452,0.07434846631379048,0.3064884361583219,-1
1998-02-01,0.01105440097710764,0.07554596273846144,0.30832543591912914,-1
1998-03-01,0.010762558213746833,0.07715153697058175,0.313805243413387,-1
1998-04-01,0.011064053607603878,0.07778320995724822,0.31119357945804116,-1
1998-05-01,0.012421978200621167,0.07791984544976009,0.30372569599634014,-1
1998-06-01,0.012603838654878997,0.07561573709569232,0.2957784797835917,-1
1998-07-01,0.01584475591083831,0.08082069987186319,0.3040106983524941,-1
1998-08-01,0.03234849486361267,0.10675543702906974,0.3369252472301484,-1
1998-09-01,0.05395362714812403,0.13966491110953522,0.3732702160536846,-1
1998-10-01,0.053559781389990846,0.14369051243752717,0.37965131165581656,-1
1998-11-01,0.048411195518134165,0.13267312299748957,0.35928422315186276,-1
1998-12-01,0.04414042031832283,0.12680436375276027,0.35157518125891735,-1
1999-01-01,0.039247206267371604,0.11854927306312353,0.33974301823082537,-1
1999-02-01,0.04205672726606778,0.12274015995076579,0.3463421564553886,-1
1999-03-01,0.04119794838185297,0.12098049464041073,0.3468933206422258,-1
1999-04-01,0.04023680891475168,0.12072586884611158,0.3482314285132256,-1
1999-05-01,0.03604255468787918,0.11052870758729746,0.33110850464535957,-1
1999-06-01,0.034860528949239494,0.11259208930663035,0.33815831223737125,-1
1999-07-01,0.03238054305256902,0.11056433080408469,0.3395455620675495,-1
